Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,7.101694915254237,64.10650643387562,4.928135593220338,64.12918315288249
10k-1000k (N=500),10000,1000000,500,7.918644067796609,64.08816280256221,3.997966101694915,64.09763165353438
10k-1000k (N=100),10000,1000000,100,23.37627118644068,64.08994954934528,18.403389830508473,64.09154809818037
10k-100k (N=1000),10000,100000,1000,9.901016949152543,64.12678419590728,3.8786440677966105,64.11923360353721
10k-100k (N=250),10000,100000,250,11.464406779661017,64.10783969162746,5.184406779661018,64.10904597245055
10k-100k (N=50),10000,100000,50,28.376271186440682,50.079281219885495,25.989830508474576,50.00885437333484
20k-35k (N=100),20000,35000,100,47.5864406779661,63.968516524006574,31.061694915254236,64.04819001190408
20k-35k (N=25),20000,35000,25,16.17627118644068,24.94753131908622,1.9423728813559322,12.46017799444476
60k-95k (N=500),60000,95000,500,31.68542372881356,64.05321013547986,16.927457627118645,64.07427243353551
60k-95k (N=100),60000,95000,100,33.227118644067794,64.04395442435236,23.40813559322034,64.07908848704723
80k-95k (N=150),80000,95000,150,48.83728813559322,63.95724732158042,38.04949152542373,64.07385068873647
80k-95k (N=20),80000,95000,20,11.525423728813559,19.99760784536024,0.535593220338983,10.0175840371861
100k-1000k (N=500),100000,1000000,500,9.21220338983051,64.12875914063828,4.751186440677967,64.1175942406893
100k-1000k (N=50),100000,1000000,50,27.684745762711863,50.04526954254294,26.671186440677968,50.0535797290403
