Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,3.0772881355932205,32.064499744912425,2.5722033898305083,32.048684314948126
10k-1000k (N=500),10000,1000000,500,2.9233898305084742,32.061094042287856,1.2067796610169492,32.053928915594355
10k-1000k (N=400),10000,1000000,400,3.5674576271186447,32.052609262513464,0.9186440677966102,32.05891502749277
10k-1000k (N=300),10000,1000000,300,2.5850847457627117,32.05004024715153,1.5328813559322034,32.043757156623776
10k-1000k (N=200),10000,1000000,200,2.8,32.04644861402415,0.9342372881355931,32.04366872626268
10k-1000k (N=100),10000,1000000,100,3.8101694915254236,32.040553256618104,1.7749152542372884,32.05378606654952
10k-100k (N=2001),10000,100000,2001,3.2806779661016945,32.05158664474803,1.0650847457627117,32.05819171248796
10k-100k (N=500),10000,100000,500,3.578983050847458,32.04737599909303,0.8759322033898306,32.056527407743324
10k-100k (N=400),10000,100000,400,3.0908474576271185,32.049108327192336,1.2881355932203389,32.05935944674338
10k-100k (N=300),10000,100000,300,3.349152542372881,32.04450541352531,0.9783050847457627,32.05269996031971
10k-100k (N=200),10000,100000,200,3.08135593220339,32.04121081571339,1.0705084745762712,32.054806416869795
10k-100k (N=100),10000,100000,100,4.189830508474576,32.047468964344425,1.7125423728813558,32.05530071991384
60k-100k (N=500),60000,100000,500,4.448135593220339,32.03965534833626,1.4996610169491524,32.03322714131853
60k-100k (N=400),60000,100000,400,4.3118644067796605,32.043940819681424,1.4969491525423728,32.032569582223225
60k-100k (N=300),60000,100000,300,4.268474576271187,32.04784989513066,1.4745762711864407,32.02997335751941
60k-100k (N=200),60000,100000,200,4.261016949152542,32.03987302307125,1.5152542372881357,32.03000736919676
60k-100k (N=100),60000,100000,100,4.813559322033898,32.04387506377189,1.7728813559322034,32.042117793775866
100k-1000k (N=500),100000,1000000,500,2.5620338983050845,32.05840711977779,2.015593220338983,32.04517430984638
100k-1000k (N=200),100000,1000000,200,2.2779661016949153,32.03864860268692,1.247457627118644,32.05092228331727
