Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,9.24406779661017,64.13435746272887,4.936723163841808,64.10328212686356
10k-1000k (N=500),10000,1000000,500,8.31412429378531,64.11495946941784,6.806779661016949,64.1274001851747
10k-1000k (N=100),10000,1000000,100,24.823728813559324,64.04779774389208,19.55367231638418,64.09171059841657
10k-100k (N=1000),10000,100000,1000,10.73446327683616,64.11915802203201,4.300564971751412,64.11123330121119
10k-100k (N=250),10000,100000,250,11.844067796610169,64.10392834873306,6.24180790960452,64.10876934414149
10k-100k (N=50),10000,100000,50,30.664406779661018,50.04793379060144,28.13559322033898,49.96759820871833
20k-35k (N=100),20000,35000,100,47.18983050847458,63.986474689643444,31.307344632768363,64.03023638115752
20k-35k (N=25),20000,35000,25,16.427118644067797,24.928688849838448,1.7932203389830506,12.453976531942635
60k-95k (N=500),60000,95000,500,31.46101694915254,64.07686261171891,17.429378531073443,64.09145362129887
60k-95k (N=100),60000,95000,100,33.34576271186441,64.04562099654214,23.47909604519774,64.07222568637455
80k-95k (N=150),80000,95000,150,49.16271186440678,63.98180375262174,38.08700564971752,64.04454396009297
80k-95k (N=20),80000,95000,20,11.94576271186441,20.026937248455305,0.5186440677966102,9.99309562949946
100k-1000k (N=500),100000,1000000,500,8.201129943502826,64.11127865011431,3.949152542372881,64.12235134062695
100k-1000k (N=50),100000,1000000,50,27.372881355932204,50.06060880902444,25.332203389830507,50.04204977042118
