row,column,python,matlab
0,Within_Threshold,True,1
0,Match,True,1
0,Authenticated,True,1
1,Intra_Hamming,0,1
1,Within_Threshold,True,1
1,Match,True,1
1,Authenticated,True,1
2,Intra_Hamming,0,2
2,Within_Threshold,True,1
2,Match,True,1
2,Authenticated,True,1
3,Within_Threshold,True,1
3,Match,True,1
3,Authenticated,True,1
4,Intra_Hamming,3,5
4,Within_Threshold,True,1
4,Match,True,1
4,Authenticated,True,1
5,Intra_Hamming,4,1
5,Within_Threshold,True,1
5,Match,True,1
5,Authenticated,True,1
6,Intra_Hamming,0,2
6,Within_Threshold,True,1
6,Match,True,1
6,Authenticated,True,1
7,Intra_Hamming,0,3
7,Within_Threshold,True,1
7,Match,True,1
7,Authenticated,True,1
8,Intra_Hamming,2,1
8,Within_Threshold,True,1
8,Match,True,1
8,Authenticated,True,1
9,Intra_Hamming,0,2
9,Within_Threshold,True,1
9,Match,True,1
9,Authenticated,True,1
10,Intra_Hamming,2,1
10,Within_Threshold,True,1
10,Match,True,1
10,Authenticated,True,1
11,Within_Threshold,True,1
11,Match,True,1
11,Authenticated,True,1
12,Intra_Hamming,3,0
12,Within_Threshold,True,1
12,Match,True,1
12,Authenticated,True,1
13,Intra_Hamming,0,1
13,Within_Threshold,True,1
13,Match,True,1
13,Authenticated,True,1
14,Intra_Hamming,3,0
14,Within_Threshold,True,1
14,Match,True,1
14,Authenticated,True,1
15,Within_Threshold,True,1
15,Match,True,1
15,Authenticated,True,1
16,Intra_Hamming,2,3
16,Within_Threshold,True,1
16,Match,True,1
16,Authenticated,True,1
17,Intra_Hamming,2,3
17,Within_Threshold,True,1
17,Match,True,1
17,Authenticated,True,1
18,Intra_Hamming,0,3
18,Within_Threshold,True,1
18,Match,True,1
18,Authenticated,True,1
19,Intra_Hamming,3,0
19,Within_Threshold,True,1
19,Match,True,1
19,Authenticated,True,1
20,Intra_Hamming,1,0
20,Within_Threshold,True,1
20,Match,True,1
20,Authenticated,True,1
21,Intra_Hamming,1,3
21,Within_Threshold,True,1
21,Match,True,1
21,Authenticated,True,1
22,Intra_Hamming,0,2
22,Within_Threshold,True,1
22,Match,True,1
22,Authenticated,True,1
23,Intra_Hamming,2,0
23,Within_Threshold,True,1
23,Match,True,1
23,Authenticated,True,1
24,Within_Threshold,True,1
24,Match,True,1
24,Authenticated,True,1
25,Intra_Hamming,2,1
25,Within_Threshold,True,1
25,Match,True,1
25,Authenticated,True,1
26,Intra_Hamming,1,4
26,Within_Threshold,True,1
26,Match,True,1
26,Authenticated,True,1
27,Intra_Hamming,3,6
27,Within_Threshold,True,1
27,Match,True,1
27,Authenticated,True,1
28,Intra_Hamming,2,6
28,Within_Threshold,True,1
28,Match,True,1
28,Authenticated,True,1
29,Intra_Hamming,2,3
29,Within_Threshold,True,1
29,Match,True,1
29,Authenticated,True,1
30,Intra_Hamming,0,2
30,Within_Threshold,True,1
30,Match,True,1
30,Authenticated,True,1
31,Intra_Hamming,0,1
31,Within_Threshold,True,1
31,Match,True,1
31,Authenticated,True,1
32,Intra_Hamming,0,3
32,Within_Threshold,True,1
32,Match,True,1
32,Authenticated,True,1
33,Intra_Hamming,2,4
33,Within_Threshold,True,1
33,Match,True,1
33,Authenticated,True,1
34,Within_Threshold,True,1
34,Match,True,1
34,Authenticated,True,1
35,Intra_Hamming,2,1
35,Within_Threshold,True,1
35,Match,True,1
35,Authenticated,True,1
36,Within_Threshold,True,1
36,Match,True,1
36,Authenticated,True,1
37,Intra_Hamming,2,0
37,Within_Threshold,True,1
37,Match,True,1
37,Authenticated,True,1
38,Within_Threshold,True,1
38,Match,True,1
38,Authenticated,True,1
39,Intra_Hamming,1,0
