row,column,python,matlab
0,Intra_Hamming,4,3
0,Within_Threshold,True,1
0,Match,True,1
0,Authenticated,True,1
1,Intra_Hamming,2,9
1,Within_Threshold,True,1
1,Match,True,1
1,Authenticated,True,1
2,Intra_Hamming,4,10
2,Within_Threshold,True,1
2,Match,True,1
2,Authenticated,True,1
3,Intra_Hamming,7,12
3,Within_Threshold,True,1
3,Match,True,1
3,Authenticated,True,1
4,Intra_Hamming,4,9
4,Within_Threshold,True,1
4,Match,True,1
4,Authenticated,True,1
5,Intra_Hamming,4,9
5,Within_Threshold,True,1
5,Match,True,1
5,Authenticated,True,1
6,Intra_Hamming,9,5
6,Within_Threshold,True,1
6,Match,True,1
6,Authenticated,True,1
7,Intra_Hamming,7,9
7,Within_Threshold,True,1
7,Match,True,1
7,Authenticated,True,1
8,Intra_Hamming,7,6
8,Within_Threshold,True,1
8,Match,True,1
8,Authenticated,True,1
9,Intra_Hamming,6,8
9,Within_Threshold,True,1
9,Match,True,1
9,Authenticated,True,1
10,Intra_Hamming,7,6
10,Within_Threshold,True,1
10,Match,True,1
10,Authenticated,True,1
11,Intra_Hamming,6,7
11,Within_Threshold,True,1
11,Match,True,1
11,Authenticated,True,1
12,Intra_Hamming,5,6
12,Within_Threshold,True,1
12,Match,True,1
12,Authenticated,True,1
13,Intra_Hamming,8,6
13,Within_Threshold,True,1
13,Match,True,1
13,Authenticated,True,1
14,Intra_Hamming,8,5
14,Within_Threshold,True,1
14,Match,True,1
14,Authenticated,True,1
15,Intra_Hamming,7,6
15,Within_Threshold,True,1
15,Match,True,1
15,Authenticated,True,1
16,Intra_Hamming,4,12
16,Within_Threshold,True,1
16,Match,True,1
16,Authenticated,True,1
17,Intra_Hamming,10,9
17,Within_Threshold,True,1
17,Match,True,1
17,Authenticated,True,1
18,Intra_Hamming,3,11
18,Within_Threshold,True,1
18,Match,True,1
18,Authenticated,True,1
19,Intra_Hamming,3,6
19,Within_Threshold,True,1
19,Match,True,1
19,Authenticated,True,1
20,Intra_Hamming,10,2
20,Within_Threshold,True,1
20,Match,True,1
20,Authenticated,True,1
21,Intra_Hamming,10,9
21,Within_Threshold,True,1
21,Match,True,1
21,Authenticated,True,1
