File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_2.csv,1,1,1,1,1,1
10_2.csv,10,10,1,1,1,1
100_2.csv,100,100,2,1,1,1
101_2.csv,101,101,3,1,1,1
102_2.csv,102,102,5,1,1,1
103_2.csv,103,103,1,1,1,1
104_2.csv,104,104,2,1,1,1
105_2.csv,105,105,3,1,1,1
106_2.csv,106,106,1,1,1,1
107_2.csv,107,107,2,1,1,1
108_2.csv,108,108,1,1,1,1
109_2.csv,109,109,1,1,1,1
11_2.csv,11,11,0,1,1,1
110_2.csv,110,110,1,1,1,1
111_2.csv,111,111,0,1,1,1
112_2.csv,112,112,1,1,1,1
113_2.csv,113,113,3,1,1,1
114_2.csv,114,114,3,1,1,1
115_2.csv,115,115,3,1,1,1
116_2.csv,116,116,0,1,1,1
117_2.csv,117,117,0,1,1,1
118_2.csv,118,118,3,1,1,1
119_2.csv,119,119,2,1,1,1
12_2.csv,12,12,0,1,1,1
120_2.csv,120,120,2,1,1,1
121_2.csv,121,121,1,1,1,1
122_2.csv,122,122,4,1,1,1
123_2.csv,123,123,6,1,1,1
124_2.csv,124,124,6,1,1,1
125_2.csv,125,125,3,1,1,1
126_2.csv,126,126,2,1,1,1
127_2.csv,127,127,1,1,1,1
128_2.csv,128,128,3,1,1,1
129_2.csv,129,129,4,1,1,1
13_2.csv,13,13,0,1,1,1
130_2.csv,130,130,1,1,1,1
131_2.csv,131,131,1,1,1,1
132_2.csv,132,132,0,1,1,1
133_2.csv,133,133,2,1,1,1
134_2.csv,134,134,0,1,1,1
135_2.csv,135,135,5,1,1,1
136_2.csv,136,136,3,1,1,1
137_2.csv,137,137,2,1,1,1
138_2.csv,138,138,1,1,1,1
139_2.csv,139,139,3,1,1,1
14_2.csv,14,14,0,1,1,1
140_2.csv,140,140,0,1,1,1
15_2.csv,15,15,2,1,1,1
151_2.csv,151,151,3,1,1,1
152_2.csv,152,152,2,1,1,1
153_2.csv,153,153,6,1,1,1
154_2.csv,154,154,6,1,1,1
155_2.csv,155,155,1,1,1,1
156_2.csv,156,156,3,1,1,1
157_2.csv,157,157,4,1,1,1
158_2.csv,158,158,3,1,1,1
159_2.csv,159,159,2,1,1,1
16_2.csv,16,16,1,1,1,1
160_2.csv,160,160,5,1,1,1
161_2.csv,161,161,1,1,1,1
162_2.csv,162,162,1,1,1,1
163_2.csv,163,163,7,1,1,1
164_2.csv,164,164,2,1,1,1
165_2.csv,165,165,0,1,1,1
166_2.csv,166,166,1,1,1,1
167_2.csv,167,167,4,1,1,1
168_2.csv,168,168,1,1,1,1
169_2.csv,169,169,0,1,1,1
17_2.csv,17,17,3,1,1,1
170_2.csv,170,170,0,1,1,1
171_2.csv,171,171,1,1,1,1
172_2.csv,172,172,2,1,1,1
173_2.csv,173,173,1,1,1,1
174_2.csv,174,174,1,1,1,1
175_2.csv,175,175,0,1,1,1
176_2.csv,176,176,3,1,1,1
177_2.csv,177,177,1,1,1,1
178_2.csv,178,178,1,1,1,1
179_2.csv,179,179,4,1,1,1
18_2.csv,18,18,3,1,1,1
180_2.csv,180,180,0,1,1,1
181_2.csv,181,181,0,1,1,1
182_2.csv,182,182,1,1,1,1
183_2.csv,183,183,1,1,1,1
