File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_5.csv,1,1,2,True,True,True
10_5.csv,10,10,2,True,True,True
100_5.csv,100,100,2,True,True,True
101_5.csv,101,101,6,True,True,True
102_5.csv,102,102,5,True,True,True
103_5.csv,103,103,1,True,True,True
104_5.csv,104,104,6,True,True,True
105_5.csv,105,105,6,True,True,True
106_5.csv,106,106,4,True,True,True
107_5.csv,107,107,5,True,True,True
108_5.csv,108,108,6,True,True,True
109_5.csv,109,109,4,True,True,True
11_5.csv,11,11,6,True,True,True
110_5.csv,110,110,2,True,True,True
111_5.csv,111,111,6,True,True,True
112_5.csv,112,112,2,True,True,True
113_5.csv,113,113,4,True,True,True
114_5.csv,114,114,7,True,True,True
115_5.csv,115,115,5,True,True,True
116_5.csv,116,116,2,True,True,True
117_5.csv,117,117,4,True,True,True
118_5.csv,118,118,1,True,True,True
119_5.csv,119,119,2,True,True,True
12_5.csv,12,12,7,True,True,True
120_5.csv,120,120,7,True,True,True
121_5.csv,121,121,5,True,True,True
122_5.csv,122,122,7,True,True,True
123_5.csv,123,123,6,True,True,True
124_5.csv,124,124,5,True,True,True
125_5.csv,125,125,4,True,True,True
126_5.csv,126,126,5,True,True,True
127_5.csv,127,127,5,True,True,True
128_5.csv,128,128,2,True,True,True
129_5.csv,129,129,7,True,True,True
13_5.csv,13,13,3,True,True,True
130_5.csv,130,130,5,True,True,True
131_5.csv,131,131,5,True,True,True
132_5.csv,132,132,4,True,True,True
133_5.csv,133,133,3,True,True,True
134_5.csv,134,134,3,True,True,True
135_5.csv,135,135,6,True,True,True
136_5.csv,136,136,4,True,True,True
137_5.csv,137,137,5,True,True,True
138_5.csv,138,138,4,True,True,True
139_5.csv,139,139,1,True,True,True
14_5.csv,14,14,5,True,True,True
140_5.csv,140,140,6,True,True,True
15_5.csv,15,15,2,True,True,True
151_5.csv,151,151,3,True,True,True
152_5.csv,152,152,1,True,True,True
153_5.csv,153,153,8,True,True,True
154_5.csv,154,154,3,True,True,True
155_5.csv,155,155,3,True,True,True
156_5.csv,156,156,2,True,True,True
157_5.csv,157,157,7,True,True,True
158_5.csv,158,158,2,True,True,True
159_5.csv,159,159,3,True,True,True
16_5.csv,16,16,3,True,True,True
160_5.csv,160,160,1,True,True,True
161_5.csv,161,161,6,True,True,True
162_5.csv,162,162,2,True,True,True
163_5.csv,163,163,3,True,True,True
164_5.csv,164,164,1,True,True,True
165_5.csv,165,165,3,True,True,True
166_5.csv,166,166,3,True,True,True
167_5.csv,167,167,3,True,True,True
168_5.csv,168,168,4,True,True,True
169_5.csv,169,169,3,True,True,True
17_5.csv,17,17,4,True,True,True
170_5.csv,170,170,4,True,True,True
171_5.csv,171,171,2,True,True,True
172_5.csv,172,172,4,True,True,True
173_5.csv,173,173,2,True,True,True
174_5.csv,174,174,5,True,True,True
175_5.csv,175,175,3,True,True,True
176_5.csv,176,176,1,True,True,True
177_5.csv,177,177,3,True,True,True
178_5.csv,178,178,5,True,True,True
179_5.csv,179,179,5,True,True,True
18_5.csv,18,18,3,True,True,True
180_5.csv,180,180,7,True,True,True
181_5.csv,181,181,5,True,True,True
182_5.csv,182,182,4,True,True,True
183_5.csv,183,183,4,True,True,True
184_5.csv,184,184,4,True,True,True
185_5.csv,185,185,3,True,True,True
186_5.csv,186,186,4,True,True,True
187_5.csv,187,187,1,True,True,True
188_5.csv,188,188,3,True,True,True
189_5.csv,189,189,4,True,True,True
19_5.csv,19,19,5,True,True,True
190_5.csv,190,190,5,True,True,True
191_5.csv,191,191,5,True,True,True
192_5.csv,192,192,3,True,True,True
193_5.csv,193,193,4,True,True,True
194_5.csv,194,194,6,True,True,True
195_5.csv,195,195,2,True,True,True
196_5.csv,196,196,4,True,True,True
197_5.csv,197,197,6,True,True,True
198_5.csv,198,198,3,True,True,True
199_5.csv,199,199,5,True,True,True
2_5.csv,2,2,2,True,True,True
20_5.csv,20,20,3,True,True,True
200_5.csv,200,200,2,True,True,True
202_5.csv,202,202,2,True,True,True
203_5.csv,203,203,3,True,True,True
204_5.csv,204,204,5,True,True,True
205_5.csv,205,205,5,True,True,True
206_5.csv,206,206,2,True,True,True
207_5.csv,207,207,3,True,True,True
208_5.csv,208,208,1,True,True,True
209_5.csv,209,209,3,True,True,True
21_5.csv,21,21,5,True,True,True
210_5.csv,210,210,3,True,True,True
211_5.csv,211,211,4,True,True,True
212_5.csv,212,212,4,True,True,True
213_5.csv,213,213,3,True,True,True
214_5.csv,214,214,4,True,True,True
215_5.csv,215,215,4,True,True,True
216_5.csv,216,216,5,True,True,True
217_5.csv,217,217,3,True,True,True
218_5.csv,218,218,4,True,True,True
219_5.csv,219,219,4,True,True,True
22_5.csv,22,22,5,True,True,True
220_5.csv,220,220,4,True,True,True
221_5.csv,221,221,3,True,True,True
222_5.csv,222,222,4,True,True,True
223_5.csv,223,223,11,True,True,True
224_5.csv,224,224,2,True,True,True
225_5.csv,225,225,1,True,True,True
226_5.csv,226,226,4,True,True,True
227_5.csv,227,227,5,True,True,True
228_5.csv,228,228,6,True,True,True
229_5.csv,229,229,4,True,True,True
