Device,Predicted,Intra_Hamming,Match
1,1,5,True
10,55,12,False
100,34,11,False
101,127,8,False
102,102,5,True
103,308,19,False
104,128,6,False
105,105,8,True
106,239,14,False
107,112,9,False
108,122,7,False
109,115,8,False
11,11,2,True
110,89,9,False
111,265,13,False
112,120,13,False
113,104,8,False
114,127,11,False
115,133,8,False
116,127,8,False
117,280,6,False
118,279,7,False
119,25,10,False
12,170,12,False
120,279,7,False
121,267,9,False
122,285,9,False
123,25,9,False
124,116,13,False
125,132,8,False
126,136,10,False
127,81,7,False
128,267,9,False
129,32,9,False
13,27,8,False
130,101,10,False
131,100,13,False
132,254,8,False
133,294,7,False
134,257,8,False
135,249,10,False
136,136,3,True
137,220,10,False
138,127,9,False
139,133,13,False
14,304,7,False
140,127,8,False
15,52,44,False
151,7,11,False
152,241,9,False
153,153,4,True
154,159,14,False
155,161,8,False
156,152,10,False
157,213,8,False
158,224,9,False
159,221,6,False
16,16,0,True
160,202,11,False
161,155,9,False
162,152,9,False
163,174,18,False
164,296,13,False
165,184,10,False
166,213,9,False
167,156,11,False
168,178,6,False
169,225,7,False
17,197,8,False
170,209,7,False
171,237,9,False
172,159,12,False
173,75,14,False
174,19,7,False
175,241,6,False
176,159,9,False
177,158,12,False
178,49,12,False
179,208,15,False
18,215,8,False
180,115,12,False
181,248,17,False
182,226,16,False
183,140,8,False
184,165,7,False
185,68,12,False
186,63,13,False
187,1,7,False
188,178,8,False
189,17,10,False
19,232,5,False
190,208,7,False
191,192,10,False
192,20,7,False
193,236,10,False
194,131,13,False
195,43,7,False
196,11,13,False
197,17,8,False
198,171,6,False
199,59,21,False
2,297,16,False
20,151,15,False
200,163,7,False
201,238,9,False
202,228,11,False
203,237,11,False
204,155,15,False
205,161,15,False
206,12,10,False
207,13,18,False
208,77,12,False
209,163,12,False
21,214,17,False
210,210,5,True
211,214,10,False
212,163,8,False
213,178,10,False
214,235,8,False
215,181,9,False
216,232,9,False
217,178,8,False
218,12,9,False
219,155,11,False
22,168,13,False
220,293,7,False
221,187,12,False
222,211,10,False
223,170,12,False
224,56,6,False
225,169,7,False
226,159,6,False
227,241,10,False
228,201,9,False
229,228,7,False
23,23,0,True
230,156,7,False
231,176,8,False
232,152,10,False
233,233,9,True
234,1,11,False
235,211,9,False
236,292,5,False
237,227,8,False
238,232,13,False
239,9,8,False
24,36,7,False
240,175,12,False
241,174,8,False
242,8,6,False
243,115,4,False
244,140,10,False
245,194,12,False
246,64,9,False
247,140,11,False
248,1,6,False
249,264,12,False
25,107,8,False
250,115,7,False
251,262,11,False
252,284,12,False
253,29,13,False
254,137,8,False
255,283,14,False
256,133,7,False
257,284,8,False
258,119,8,False
259,264,11,False
26,15,14,False
260,123,9,False
261,112,11,False
262,129,7,False
263,263,4,True
264,135,9,False
265,262,11,False
266,255,9,False
267,134,10,False
268,265,9,False
269,289,6,False
27,181,5,False
270,107,12,False
271,127,13,False
272,275,8,False
273,300,10,False
274,152,9,False
275,260,12,False
276,180,8,False
277,272,10,False
278,299,7,False
279,288,8,False
28,114,8,False
280,280,5,True
281,108,11,False
282,282,12,True
283,305,9,False
284,283,9,False
285,287,9,False
286,292,8,False
287,25,6,False
288,128,8,False
289,266,7,False
29,266,7,False
290,254,11,False
291,254,8,False
292,256,7,False
293,2,9,False
294,295,6,False
295,183,7,False
296,137,8,False
297,236,13,False
298,306,9,False
299,133,10,False
3,29,6,False
30,183,12,False
300,289,8,False
301,279,12,False
302,37,11,False
303,262,6,False
304,26,6,False
305,251,8,False
306,300,8,False
307,307,6,True
308,308,6,True
309,208,17,False
31,44,7,False
310,274,19,False
32,277,9,False
33,8,9,False
34,34,5,True
35,23,7,False
36,125,13,False
37,113,7,False
38,153,9,False
39,70,7,False
4,226,7,False
40,137,17,False
41,229,8,False
42,34,10,False
43,12,8,False
44,96,6,False
45,174,7,False
46,185,6,False
47,153,9,False
48,153,10,False
49,49,7,True
5,82,7,False
50,209,6,False
51,60,8,False
52,52,12,True
53,1,9,False
54,157,19,False
55,5,10,False
56,224,9,False
57,48,10,False
58,64,11,False
59,6,8,False
6,186,7,False
60,60,8,True
61,185,7,False
62,310,8,False
63,225,9,False
64,186,11,False
65,65,4,True
66,212,7,False
67,53,9,False
68,68,7,True
69,64,10,False
7,209,10,False
70,57,10,False
71,71,6,True
72,12,6,False
73,165,7,False
74,245,11,False
75,163,8,False
76,76,8,True
77,62,10,False
78,169,18,False
79,216,8,False
8,158,13,False
80,22,9,False
81,116,8,False
82,19,11,False
83,132,6,False
84,126,9,False
85,308,11,False
86,121,5,False
87,113,11,False
88,110,6,False
89,24,6,False
9,31,9,False
90,123,11,False
91,129,8,False
92,92,2,True
93,2,7,False
94,132,5,False
95,288,10,False
96,153,7,False
97,90,10,False
98,277,9,False
99,107,11,False
