Device,Predicted,Intra_Hamming,Match
1,1,0,True
10,152,4,False
100,96,4,False
101,127,7,False
102,102,0,True
103,242,8,False
104,99,2,False
105,105,5,True
106,100,12,False
107,111,2,False
108,108,0,True
109,250,4,False
11,11,0,True
110,81,4,False
111,119,5,False
112,120,4,False
113,107,2,False
114,28,4,False
115,115,0,True
116,116,2,True
117,107,4,False
118,118,0,True
119,260,4,False
12,157,4,False
120,40,5,False
121,267,4,False
122,111,4,False
123,121,5,False
124,114,7,False
125,132,4,False
126,136,4,False
127,81,3,False
128,136,4,False
129,113,5,False
13,181,7,False
130,101,6,False
131,131,2,True
132,115,7,False
133,133,0,True
134,284,2,False
135,135,0,True
136,136,0,True
137,100,8,False
138,81,4,False
139,139,0,True
14,180,3,False
140,35,3,False
15,103,16,False
151,11,2,False
152,152,0,True
153,21,2,False
154,159,13,False
155,49,7,False
156,152,6,False
157,225,6,False
158,158,2,True
159,159,0,True
16,16,0,True
160,201,7,False
161,161,0,True
162,19,10,False
163,228,18,False
164,291,2,False
165,197,6,False
166,169,7,False
167,10,7,False
168,195,4,False
169,225,7,False
17,197,9,False
170,197,3,False
171,201,4,False
172,235,9,False
173,62,20,False
174,19,2,False
175,172,2,False
176,231,5,False
177,70,15,False
178,49,9,False
179,210,18,False
18,242,5,False
180,236,7,False
181,42,17,False
182,176,9,False
183,183,0,True
184,184,0,True
185,68,3,False
186,63,7,False
187,239,7,False
188,170,7,False
189,197,2,False
19,232,2,False
190,310,5,False
191,188,4,False
192,192,0,True
193,236,4,False
194,220,7,False
195,217,7,False
196,11,12,False
197,166,3,False
198,198,0,True
199,12,21,False
2,183,15,False
20,76,15,False
200,163,4,False
201,230,5,False
202,230,7,False
203,152,5,False
204,49,11,False
205,151,10,False
206,12,6,False
207,181,13,False
208,50,10,False
209,186,3,False
21,231,9,False
210,217,2,False
211,211,2,True
212,184,6,False
213,206,7,False
214,159,5,False
215,181,7,False
216,5,6,False
217,170,4,False
218,66,8,False
219,151,5,False
22,73,8,False
220,67,7,False
221,248,3,False
222,239,7,False
223,197,3,False
224,1,3,False
225,163,7,False
226,194,7,False
227,241,6,False
228,171,12,False
229,41,2,False
23,23,0,True
230,156,8,False
231,194,2,False
232,175,5,False
233,233,7,True
234,247,4,False
235,100,7,False
236,236,0,True
237,201,0,False
238,19,10,False
239,239,0,True
24,24,2,True
240,167,13,False
241,172,7,False
242,8,7,False
243,244,2,False
244,278,7,False
245,194,2,False
246,218,7,False
247,183,13,False
248,239,2,False
249,264,9,False
25,285,7,False
250,133,7,False
251,262,5,False
252,287,3,False
253,256,21,False
254,26,6,False
255,270,16,False
256,109,5,False
257,257,0,True
258,97,3,False
259,264,7,False
26,96,10,False
260,123,4,False
261,285,7,False
262,262,2,True
263,263,0,True
264,264,3,True
265,258,3,False
266,133,3,False
267,134,7,False
268,25,2,False
269,102,5,False
27,271,7,False
270,251,9,False
271,24,10,False
272,277,5,False
273,296,5,False
274,19,7,False
275,270,7,False
276,102,5,False
277,270,9,False
278,102,6,False
279,265,10,False
28,127,4,False
280,252,5,False
281,97,10,False
282,282,5,True
283,90,4,False
284,258,4,False
285,280,7,False
286,273,3,False
287,252,5,False
288,134,2,False
289,106,7,False
29,269,4,False
290,244,8,False
291,290,2,False
292,292,0,True
293,1,4,False
294,115,0,False
295,271,3,False
296,254,5,False
297,236,5,False
298,250,5,False
299,102,6,False
3,273,2,False
30,139,2,False
300,102,5,False
301,37,8,False
302,111,5,False
303,262,4,False
304,254,7,False
305,277,4,False
306,296,4,False
307,285,0,False
308,308,0,True
309,310,16,False
31,38,9,False
310,54,27,False
32,111,2,False
33,139,2,False
34,38,2,False
35,35,0,True
36,139,9,False
37,261,2,False
38,44,6,False
39,1,7,False
4,176,5,False
40,114,14,False
41,175,5,False
42,42,2,True
43,43,2,True
44,38,2,False
45,182,2,False
46,49,7,False
47,34,2,False
48,1,8,False
49,49,0,True
5,82,4,False
50,77,3,False
51,154,7,False
52,52,11,True
53,234,6,False
54,50,21,False
55,82,5,False
56,224,0,False
57,70,5,False
58,72,4,False
59,12,4,False
6,310,10,False
60,60,2,True
61,185,4,False
62,64,4,False
63,166,2,False
64,50,5,False
65,65,4,True
66,66,0,True
67,220,7,False
68,68,0,True
69,208,2,False
7,165,11,False
70,39,2,False
71,71,2,True
72,50,5,False
73,209,5,False
74,38,4,False
75,59,4,False
76,76,0,True
77,209,2,False
78,73,18,False
79,79,0,True
8,39,8,False
80,50,10,False
81,81,2,True
82,172,4,False
83,132,4,False
84,126,5,False
85,304,7,False
86,97,6,False
87,104,4,False
88,24,2,False
89,116,4,False
9,245,5,False
90,90,0,True
91,108,4,False
92,92,2,True
93,234,0,False
94,115,2,False
95,119,4,False
96,96,2,True
97,90,2,False
98,129,2,False
99,108,2,False
