Method,HSIC,N-ID,N-HL,SynthEER,PamelaEER,EER-D1,EER-D2,EER-D3,EER-D4,TempEER,AgeEER,LoadEER
PCA (F-ratio split),6344.1199094145895,20,359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCA (20/380 split),6350.174751424458,20,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCA (20 HL only),6.224855817463713,380,20,0.04722222222222222,0.0,0.0,0.0,0.0,0.0,0.12722222222222224,0.014444444444444426,0.0
PCA (sep F-ratio),5950.768925957177,23,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FastICA,-4.324615478773912e-17,81,19,0.4638175218407777,0.2567829457364341,0.16500553709856033,0.16500553709856033,0.33637873754152825,0.29928017718715394,0.45891472868217054,0.16778331487633816,0.6730933923957181
PLS,-3.3177751948059066e-17,92,8,0.4735092900209179,0.01107419712070875,0.0016611295681063123,0.01107419712070875,0.01107419712070875,0.0027685492801771874,0.48554448135843487,0.1375526024363234,0.6883056478405316
sisPCA lam=0.0,1189056.6428643765,20,380,0.06425126122800542,0.0,0.0,0.0,0.0,0.0,0.12684200812107788,0.0,0.0022166851236618437
sisPCA lam=0.01,0.04263393478795334,20,380,0.003969484434600698,0.0,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,0.0
sisPCA lam=0.05,0.00013889693865682453,20,380,0.0035991140642303433,0.0,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,0.0
sisPCA lam=0.1,1.6983564561559774e-05,20,380,0.0016611295681063123,0.0,0.0,0.0,0.0,0.0,0.0016611295681063123,0.0,0.0
sisPCA lam=1.0,1.0564497270428997e-06,20,380,0.0016611295681063123,0.0,0.0,0.0,0.0,0.0,0.0016611295681063123,0.0,0.0
sisPCA lam=10.0,1.2512493331593725e-06,20,380,0.0016611295681063123,0.0,0.0,0.0,0.0,0.0,0.0016611295681063123,0.0,0.0
