method,hsic,n_id,n_hl,health_eer,health_eer_D1,health_eer_D2,health_eer_D3,health_eer_D4,health_eer_D1_xval,health_eer_D2_xval,health_eer_D3_xval,health_eer_D4_xval
PCA (F-ratio),-5.545876464952928e-12,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCA (hard split),6.156779902429683e-15,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCA (4 HL),6.156779902429683e-15,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FastICA,-2.309460565967287e-17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLS,3.994568704888508e-17,5,2,0.20833333333333331,0.33333333333333337,0.24999999999999997,0.0,0.33333333333333337,0.19999999999999998,0.13333333333333333,0.0,0.26666666666666666
sisPCA lam=0.0,2776696.310306593,4,6,0.020833333333333315,0.0,0.0,0.0,0.08333333333333331,0.0,0.0,0.0,0.0
sisPCA lam=0.01,4.563441691242498,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sisPCA lam=0.05,0.25763451409517524,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sisPCA lam=0.1,0.01739420517649152,4,6,0.020833333333333315,0.0,0.0,0.0,0.08333333333333331,0.0,0.0,0.0,0.0
sisPCA lam=0.5,0.00019589050549303756,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sisPCA lam=1.0,0.00016363439779885824,4,6,0.020833333333333315,0.08333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sisPCA lam=10.0,1.3704086848719491e-05,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
