Condition_Type,Condition_Name,N_Devices,Mean_PCA_Distance,Std_PCA_Distance,Max_PCA_Distance
temperature,cool,295,12.788996883252189,0.2973892565115664,13.751715533979691
temperature,hot,295,38.09539134850043,0.8085755219544539,40.24066549364452
temperature,warm,295,19.119113955271875,0.4190346795646725,20.334217131207883
aging,mild,295,14.575927754556087,0.3891256293059456,15.586573488933588
aging,moderate,295,58.28530804385949,1.5477766519236333,62.167797802608334
aging,none,295,3.1193531561755184e-13,5.5644618959667894e-14,1.1022391942341374e-12
aging,severe,295,145.33269022108357,3.9240129660706358,154.27497080173634
loading,heavy,295,23.83373635834163,2.297576162574382,31.499025492177037
loading,light,295,4.764921867182975,0.4596157378575108,6.298134080580504
loading,moderate,295,14.297499393512537,1.3786974384269215,18.89690673559798
loading,none,295,3.1209002676840557e-13,5.323091463186359e-14,1.0338309445039678e-12
