method,n_id,n_hl,n_dual,n_neither,hsic,auth_eer,health_eer,health_eer_temp,health_eer_aging,health_eer_loading,health_eer_no_none,health_eer_temp_no_none,health_eer_aging_no_none,health_eer_loading_no_none,auth_eer_hamming,health_eer_hamming,time,dev_aging,dev_baseline,dev_loading,dev_temperature,health_eer_age_mild,health_eer_age_mod,health_eer_age_sev
PCA,42,42,8,8,1466266.8036502511,0.24227318045862412,0.1726502311248074,0.0,0.24745762711864408,0.17584745762711865,0.1004708097928437,0.0,0.1641242937853107,0.0,0.15782652043868395,0.3884437596302003,0.0,15.884220981298082,6.385355571216161,169.7341887254138,43.08612797774886,,,
FastICA,34,34,16,16,-8.833221873751957e-18,0.0897308075772682,0.41985105290190033,0.40480225988700563,0.34435028248587574,0.49209039548022604,0.4016007532956686,0.40480225988700563,0.2819209039548023,0.48700564971751414,0.07318045862412761,0.3864149974319466,41.66373300552368,8.647129747058353,5.507908876989072,5.642744079169563,6.251993213031417,,,
PLS,24,24,26,26,-1.4704154878846908e-18,0.0682951146560319,0.2029019003595275,0.0005649717514124294,0.247316384180791,0.21765536723163842,0.07834274952919018,0.0005649717514124294,0.14576271186440676,0.0,0.04147557328015952,0.42057010785824345,13.757120609283447,15.077163246814626,4.81096888765749,81.7263127869254,20.58160514628451,,,
PCA (sep F-ratio),24,24,26,26,739762.5851003809,0.22701894317048854,0.1726245505906523,0.0,0.24604519774011296,0.17697740112994348,0.09962335216572506,0.0,0.16101694915254233,0.0,0.16231306081754737,0.305110426296867,22.479909420013428,13.766505346377013,4.8097639371238605,131.02564415674186,33.52477455905367,,,
sisPCA lam=0.0,20,380,hard,hard,15800185.97367437,0.2653040877367896,0.1810734463276836,0.0005649717514124294,0.2064971751412429,0.2064971751412429,0.0005649717514124294,0.0005649717514124294,0.0,0.0,0.20687936191425724,0.5035439137134052,38.10583138465881,202.02148152602334,19.284126432463154,250.39012347672977,66.46088511445215,0.0,0.0,0.0
sisPCA lam=0.0 (F-split),20,380,133,0,15800185.97367437,0.025423728813559324,0.11607601438109913,0.0011299435028248588,0.1464689265536723,0.1464689265536723,0.0011299435028248588,0.0011299435028248588,0.0,0.0,0.22951146560319044,0.496507447354905,77.21916723251343,216.91685875244198,19.282610149048637,230.14581207781222,63.12932189567089,0.0,0.0,0.0
sisPCA lam=0.01,20,380,hard,hard,0.004124050815950465,0.01764705882352941,0.136748844375963,0.0,0.16610169491525426,0.16610169491525426,0.0,0.0,0.0,0.0,0.03200398803589232,0.5006163328197226,109.29472160339355,185.3747423087608,19.2845526329258,308.4314023884969,79.66653071891905,0.0,0.0,0.0
sisPCA lam=0.01 (F-split),20,380,146,0,0.004124050815950465,0.03798604187437687,0.11635850025680536,0.0,0.14675141242937853,0.14675141242937853,0.0,0.0,0.0,0.0,0.21385842472582253,0.5035952747817155,148.14080476760864,197.69971386123592,19.28499574440672,275.0980732156508,76.1507331290087,0.0,0.0,0.0
sisPCA lam=0.02,20,380,hard,hard,0.0012923388894678983,0.022931206380857425,0.19815100154083207,0.0,0.2228813559322034,0.2228813559322034,0.0,0.0,0.0,0.0,0.04516450648055832,0.5054956343091936,179.959858417511,188.39386105935333,19.28632339589815,406.5257312962072,99.3597005744839,0.0,0.0,0.0
sisPCA lam=0.02 (F-split),20,380,150,0,0.0012923388894678983,0.035493519441674976,0.16692347200821778,0.0,0.19350282485875708,0.19350282485875708,0.0,0.0,0.0,0.0,0.22342971086739782,0.5060349255264509,221.10903596878052,198.29363689717204,19.284514680934702,260.6445820067016,71.63485603462325,0.0,0.0,0.0
sisPCA lam=0.03,20,380,hard,hard,0.0008897423022464577,0.027617148554336987,0.09496661530559838,0.0,0.2378531073446328,0.2378531073446328,0.0,0.0,0.0,0.0,0.04107676969092722,0.5065998972778634,251.10767459869385,184.98692772729243,19.287756097395945,330.6873587483959,84.43336723092852,0.0,0.0,0.0
sisPCA lam=0.03 (F-split),20,380,138,0,0.0008897423022464577,0.036291126620139585,0.11938880328710838,0.0,0.14943502824858756,0.14943502824858756,0.0,0.0,0.0,0.0,0.22522432701894318,0.5127375449409348,291.7273976802826,198.96027460228038,19.286682287924286,276.33763060045925,72.96537254849801,0.0,0.0,0.0
sisPCA lam=0.05,20,380,hard,hard,0.0008653336388740946,0.04217347956131605,0.17562917308680018,0.0,0.20197740112994347,0.20197740112994347,0.0,0.0,0.0,0.0,0.05692921236291126,0.50351823317925,323.1127164363861,185.37372595738992,19.288259315905204,346.0401489860088,87.7869022852431,0.0,0.0,0.0
sisPCA lam=0.05 (F-split),20,380,147,0,0.0008653336388740946,0.031206380857427718,0.18952234206471497,0.0,0.2148305084745763,0.2148305084745763,0.0,0.0,0.0,0.0,0.21734795613160518,0.5070107858243451,363.1568636894226,198.9861124231117,19.287934839982324,292.2130294626656,78.35691217199205,0.0,0.0,0.0
sisPCA lam=0.07,20,380,hard,hard,0.0005156725470053735,0.04386839481555334,0.18536209553158706,0.0,0.21101694915254238,0.21101694915254238,0.0,0.0,0.0,0.0,0.05922233300099701,0.4940934771443246,398.80200386047363,185.11528281558154,19.290370439989356,343.1437802362511,86.58406861722075,0.0,0.0,0.0
sisPCA lam=0.07 (F-split),20,380,135,0,0.0005156725470053735,0.034396809571286144,0.19198767334360553,0.0,0.21694915254237288,0.21694915254237288,0.0,0.0,0.0,0.0,0.21804586241276172,0.49057524396507446,438.01177644729614,200.13030306534915,19.285524430225678,246.5277731873711,67.81016908616448,0.0,0.0,0.0
sisPCA lam=0.1,20,380,hard,hard,0.00030244060156515095,0.048953140578265206,0.17560349255264507,0.0,0.2018361581920904,0.2018361581920904,0.0,0.0,0.0,0.0,0.0584247258225324,0.49622496147919876,472.1611297130585,186.34896157070884,19.28865442979995,346.26503956673287,86.97158807066032,0.0,0.0,0.0
sisPCA lam=0.1 (F-split),20,380,139,0,0.00030244060156515095,0.03330009970089731,0.16861838726245507,0.0,0.19519774011299437,0.19519774011299437,0.0,0.0,0.0,0.0,0.227617148554337,0.4955572675911659,510.9759032726288,196.54839646555507,19.28872552828049,297.7159749703823,79.0127689797446,0.0,0.0,0.0
